Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,5412.000000,5436.000000,5032.000000,5040.000000,5026.806641,175600
2019-04-25,5080.000000,5092.000000,4776.000000,4788.000000,4775.465820,218000
2019-04-26,4660.000000,4724.000000,4408.000000,4580.000000,4568.010254,180500
2019-04-29,4576.000000,4652.000000,4472.000000,4552.000000,4540.083984,121600
2019-04-30,4664.000000,4692.000000,4352.399902,4420.000000,4408.429199,195500
2019-05-01,4408.000000,4476.000000,3993.199951,4000.000000,3989.528809,201700
2019-05-02,3824.000000,3937.199951,3564.000000,3644.000000,3634.460938,332500
2019-05-03,3752.000000,3920.000000,3674.000000,3876.000000,3865.853516,134700
2019-05-06,3656.000000,4020.000000,3636.000000,3964.000000,3953.623047,161500
2019-05-07,3816.000000,3844.000000,3604.000000,3800.000000,3790.052490,254600
2019-05-08,3780.000000,4076.000000,3756.000000,3892.000000,3881.811523,208800
2019-05-09,3800.000000,3920.000000,3624.000000,3872.000000,3861.863770,215500
2019-05-10,3824.000000,3934.000000,3624.800049,3896.000000,3885.801025,214000
2019-05-13,3812.000000,3856.000000,3464.000000,3524.000000,3514.774658,294600
2019-05-14,3620.000000,3864.000000,3588.000000,3784.000000,3774.094238,195000
2019-05-15,3652.000000,3932.000000,3608.000000,3908.000000,3897.769775,179500
2019-05-16,3996.000000,4100.000000,3960.000000,4036.000000,4025.434326,152400
2019-05-17,3924.000000,3976.000000,3736.000000,3744.000000,3734.198975,174500
2019-05-20,3724.000000,3776.000000,3628.000000,3656.000000,3646.429199,186200
2019-05-21,3696.000000,3912.000000,3692.000000,3912.000000,3901.759277,177900
2019-05-22,3792.000000,3816.000000,3412.000000,3444.000000,3434.984619,295000
2019-05-23,3196.000000,3200.000000,2812.000000,2844.000000,2836.554932,384800
2019-05-24,3012.000000,3020.000000,2744.000000,2852.000000,2844.534180,262500
2019-05-28,2900.000000,2912.000000,2740.000000,2748.000000,2740.806152,217200
2019-05-29,2564.000000,2788.000000,2544.000000,2788.000000,2780.701660,338900
2019-05-30,2756.000000,2809.600098,2536.000000,2552.000000,2545.319336,285600
2019-05-31,2368.000000,2520.000000,2344.000000,2400.000000,2393.717041,339500
2019-06-03,2460.000000,2524.000000,2380.000000,2476.000000,2469.518311,300800
2019-06-04,2548.000000,2692.000000,2510.000000,2668.000000,2661.015869,247200
2019-06-05,2632.000000,2648.000000,2280.000000,2360.000000,2353.822021,418000
2019-06-06,2372.000000,2460.000000,2316.000000,2428.000000,2421.644043,208600
2019-06-07,2428.000000,2511.199951,2344.000000,2440.000000,2433.612549,250500
2019-06-10,2476.000000,2580.000000,2380.000000,2392.000000,2385.738281,235900
2019-06-11,2464.000000,2516.000000,2400.000000,2416.000000,2409.675293,233700
2019-06-12,2340.000000,2344.000000,2148.000000,2160.000000,2154.345703,371100
2019-06-13,2300.000000,2320.000000,2220.000000,2316.000000,2309.937256,208700
2019-06-14,2320.000000,2348.000000,2156.000000,2176.000000,2170.303711,303200
2019-06-17,2144.000000,2316.000000,2100.000000,2292.000000,2286.000244,221800
2019-06-18,2352.000000,2536.000000,2344.000000,2472.000000,2465.529053,323400
2019-06-19,2456.000000,2532.000000,2352.000000,2420.000000,2413.665039,211200
2019-06-20,2612.000000,2758.000000,2600.000000,2672.000000,2665.005371,294900
2019-06-21,2708.000000,2784.000000,2628.000000,2664.000000,2657.026123,168500
2019-06-24,2684.000000,2724.000000,2528.000000,2552.000000,2545.319336,196600
2019-06-25,2532.000000,2544.000000,2444.399902,2472.000000,2465.954102,151200
2019-06-26,2612.000000,2780.000000,2564.000000,2712.000000,2705.366943,234100
2019-06-27,2708.000000,2760.000000,2640.000000,2672.000000,2665.464844,168900
2019-06-28,2712.000000,2817.600098,2684.000000,2816.000000,2809.112549,199200
2019-07-01,3024.000000,3040.000000,2756.000000,2808.000000,2801.132324,289400
2019-07-02,2788.000000,2789.600098,2452.000000,2484.000000,2477.924561,311900
2019-07-03,2556.000000,2556.000000,2432.000000,2476.000000,2469.944336,109500
2019-07-05,2468.000000,2586.399902,2456.000000,2568.000000,2561.718994,142900
2019-07-08,2540.000000,2628.000000,2460.000000,2472.000000,2465.954102,157700
2019-07-09,2468.000000,2496.000000,2356.000000,2492.000000,2485.905029,153000
2019-07-10,2592.000000,2692.000000,2552.000000,2668.000000,2661.474854,262000
2019-07-11,2688.000000,2712.000000,2524.000000,2556.000000,2549.748535,192300
2019-07-12,2568.000000,2652.000000,2521.600098,2604.000000,2597.631348,170300
2019-07-15,2636.000000,2648.000000,2380.000000,2384.000000,2378.169189,237100
2019-07-16,2412.000000,2412.000000,2200.000000,2272.000000,2266.443359,247900
2019-07-17,2280.000000,2288.000000,2044.000000,2048.000000,2042.991089,432700
2019-07-18,2052.000000,2060.000000,1952.000000,2008.000000,2003.088867,247100
2019-07-19,2032.000000,2092.000000,1980.400024,2072.000000,2066.932129,184700
2019-07-22,2096.000000,2160.000000,2012.000000,2088.000000,2082.893066,219100
2019-07-23,2100.000000,2160.000000,2052.399902,2160.000000,2154.717041,176900
2019-07-24,2152.000000,2284.000000,2150.399902,2192.000000,2186.638916,240700
2019-07-25,2228.000000,2248.000000,1964.000000,1988.000000,1983.137817,357600
2019-07-26,2008.000000,2010.000000,1880.000000,1920.000000,1915.304077,215500
2019-07-29,1928.000000,1944.400024,1760.000000,1816.000000,1811.558472,221100
2019-07-30,1804.000000,2138.000000,1756.000000,2104.000000,2098.854004,389500
2019-07-31,2120.000000,2288.000000,2056.000000,2116.000000,2110.824707,412000
2019-08-01,1988.000000,2020.000000,1640.000000,1724.000000,1719.783447,743300
2019-08-02,1776.000000,1814.800049,1580.000000,1668.000000,1663.920410,379400
2019-08-05,1532.000000,1540.000000,1420.000000,1448.000000,1444.458496,399100
2019-08-06,1488.000000,1536.800049,1316.000000,1384.000000,1380.615112,425400
2019-08-07,1286.000000,1424.000000,1224.000000,1380.000000,1376.624756,461900
2019-08-08,1424.000000,1500.000000,1392.000000,1500.000000,1496.331421,303500
2019-08-09,1536.000000,1540.000000,1428.000000,1448.000000,1444.458496,311400
2019-08-12,1440.000000,1444.000000,1336.000000,1384.000000,1380.615112,243600
2019-08-13,1364.000000,1524.000000,1312.000000,1416.000000,1412.536743,337700
2019-08-14,1300.000000,1316.000000,1164.000000,1188.000000,1185.094482,614400
2019-08-15,1196.000000,1196.000000,1124.000000,1164.000000,1161.153076,333600
2019-08-16,1176.000000,1288.000000,1164.000000,1280.000000,1276.869385,366100
2019-08-19,1348.000000,1444.000000,1332.000000,1432.000000,1428.497559,331900
2019-08-20,1384.000000,1410.800049,1328.000000,1392.000000,1388.595581,253700
2019-08-21,1448.000000,1492.000000,1392.800049,1412.000000,1408.546509,267200
2019-08-22,1428.000000,1448.000000,1352.000000,1356.000000,1352.683472,239400
2019-08-23,1284.000000,1316.000000,1136.000000,1148.000000,1145.192261,476300
2019-08-26,1212.000000,1228.000000,1144.000000,1160.000000,1157.162842,261300
2019-08-27,1188.000000,1192.000000,1086.000000,1112.000000,1109.280273,356300
2019-08-28,1156.000000,1248.000000,1128.000000,1220.000000,1217.016235,397900
2019-08-29,1268.000000,1364.000000,1260.000000,1340.000000,1336.722656,414000
2019-08-30,1352.000000,1360.000000,1216.000000,1264.000000,1260.908569,306900
2019-09-03,1164.000000,1212.000000,1108.000000,1196.000000,1193.074829,348100
2019-09-04,1260.000000,1304.000000,1236.000000,1292.000000,1288.839966,329900
2019-09-05,1336.000000,1452.000000,1328.000000,1392.000000,1388.595581,405600
2019-09-06,1352.000000,1380.000000,1280.000000,1368.000000,1364.654175,247600
