Date,AAPL,AXP,NKE,CVX,JNJ,F,ALK
2000-01-03,3.47022557258606,34.196666717529304,1.835763692855835,17.41951560974121,26.96562957763672,15.058454513549805,7.713035106658935
2000-01-04,3.1776502132415767,32.905452728271484,1.7356300354003906,17.41951560974121,25.97841453552246,14.555305480957033,7.616623401641847
2000-01-05,3.2241518497467037,32.18603134155273,1.835763692855835,17.73196792602539,26.25265312194824,14.609212875366213,7.657941818237305
2000-01-06,2.9451389312744136,32.84177017211914,1.826227307319641,18.48706817626953,27.07532501220703,14.627182960510256,7.664830684661865
2000-01-07,3.0846450328826904,33.31991958618164,1.826227307319641,18.81255340576172,28.22708511352539,15.70534896850586,7.9471797943115225
2000-01-10,3.0303926467895512,33.78440475463867,1.8572195768356323,18.3048038482666,27.51408576965332,15.41783618927002,7.809446811676025
2000-01-11,2.8753855228424072,34.098594665527344,1.95020055770874,18.135555267333984,27.60549736022949,15.004542350769045,7.809446811676025
2000-01-12,2.702939510345459,33.92101287841797,1.8834447860717771,18.070463180541992,27.349552154541016,15.435810089111328,7.58907413482666
2000-01-13,2.9993913173675537,34.098594665527344,1.907287120819092,18.23971366882324,27.312992095947266,15.25611686706543,7.575302124023437
2000-01-14,3.11370849609375,34.863643646240234,1.957352876663208,18.122543334960934,27.404399871826172,14.878750801086426,7.533979415893555
2000-01-18,3.2222135066986084,33.128662109375,1.9311282634735107,18.604246139526367,26.70968246459961,15.597533226013185,7.520210266113281
2000-01-19,3.3035922050476074,32.554874420166016,2.014570951461792,18.31782531738281,26.80109024047852,15.363931655883787,7.3411545753479
2000-01-20,3.518665313720703,33.09451675415039,1.9668883085250852,18.226696014404297,26.892513275146484,15.013526916503904,7.16210412979126
2000-01-21,3.450849294662476,33.15598678588867,1.9335116147994995,18.44801902770996,26.28920936584473,14.50139331817627,7.0105977058410645
2000-01-24,3.2939040660858154,33.22428512573242,1.8953654766082764,18.500089645385746,24.479310989379886,14.699057579040527,6.638719081878662
2000-01-25,3.4799141883850098,34.61773681640625,1.8643720149993896,18.44801902770996,24.936359405517575,14.41154670715332,6.721358299255371
2000-01-26,3.4159727096557617,34.918296813964844,1.8882131576538088,18.27876853942871,24.424474716186523,13.80058479309082,7.1070098876953125
2000-01-27,3.4101600646972656,35.615020751953125,1.8023853302001955,17.562719345092773,23.54693603515625,14.35763931274414,7.024370670318604
2000-01-28,3.1505227088928223,34.59041213989258,1.7880810499191284,17.198188781738278,24.716981887817386,14.349569320678713,7.189650058746338
2000-01-31,3.2164013385772705,36.011192321777344,1.7356300354003906,17.41951560974121,25.17401123046875,14.569202423095705,7.024370670318604
2000-02-01,3.107896089553833,36.94015121459961,1.7809286117553709,17.328371047973633,24.80838203430176,14.587506294250488,6.996824264526367
2000-02-02,3.063332319259644,35.88823318481445,1.809538006782532,17.211198806762695,24.972909927368164,14.239748001098633,7.0105977058410645
2000-02-03,3.2028386592864986,35.60133743286133,1.826227307319641,16.96384048461914,24.36962890625,14.276359558105467,6.859090805053711
2000-02-04,3.3481571674346924,35.287139892578125,1.7809286117553709,16.36496925354004,24.02226448059082,14.075021743774414,6.7626776695251465
2000-02-07,3.536104440689087,35.50572967529297,1.726094126701355,16.469112396240234,23.82116889953613,14.038415908813475,6.6938114166259775
2000-02-08,3.561292886734009,35.62868118286133,1.4113922119140625,16.312891006469727,24.00399780273437,14.093327522277832,6.624946594238281
2000-02-09,3.491538524627685,34.22157669067383,1.2874186038970947,15.62287425994873,23.400672912597656,13.818778038024902,6.514758586883545
2000-02-10,3.518665313720703,33.77073287963867,1.2874186038970947,16.000434875488278,22.81566619873047,13.763870239257812,6.56985330581665
2000-02-11,3.3714089393615723,33.552173614501946,1.296954870223999,15.414570808410645,22.8149356842041,13.5076322555542,6.432121753692628
2000-02-14,3.5903561115264893,33.66146469116211,1.2325836420059204,15.37551498413086,22.87017822265625,13.782172203063965,6.018922328948975
2000-02-15,3.689173936843872,34.781665802001946,1.161060452461243,16.143653869628903,23.477842330932614,13.58083724975586,6.101561069488525
2000-02-16,3.5380420684814453,33.62730026245117,1.125299096107483,16.48526382446289,23.51466178894043,13.56253719329834,6.129108428955077
2000-02-17,3.561292886734009,32.336292266845696,1.1062263250350952,16.47202491760254,23.33051681518555,13.434414863586426,6.253067493438722
2000-02-18,3.4489123821258545,30.21880340576172,1.0680805444717407,16.140987396240234,22.8149356842041,12.702296257019045,6.1979737281799325
2000-02-22,3.528352975845337,30.41005897521973,1.0299348831176758,16.035064697265625,23.164798736572266,12.903627395629885,6.046467304229736
